Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7
Tracks 1 to 7
182	151.32939	602.38007	 	 	 	 	 	 	 	168.80159	7.642857	 	257.9181	680.6724	 	 	 	 	 	 	 
183	151.09334	601.07	 	 	 	 	 	 	 	168.99739	7.65625	 	255.89035	680.7149	 	 	 	 	 	 	 
184	150.70679	600.2051	 	 	 	 	 	 	 	168.87173	7.6335077	 	267.66666	680.2524	 	 	 	 	 	 	 
185	150.40436	599.47986	 	 	 	 	 	 	 	168.84737	7.642105	 	264.71802	680.4858	 	 	 	 	 	 	 
186	150.19115	599.00085	 	 	 	 	 	 	 	169.11804	7.4363394	 	264.84763	680.5238	 	 	 	 	 	 	 
187	149.90398	598.8576	 	 	 	 	 	 	 	169.45688	7.338275	 	258.46136	680.6373	 	 	 	 	 	 	 
188	149.599	599.15607	 	 	 	 	 	 	 	169.53836	7.2260275	 	258.57373	680.7949	 	 	 	 	 	 	 
189	149.39279	599.5988	 	 	 	 	 	 	 	169.47528	7.195055	 	258.18283	680.685	 	 	 	 	 	 	 
190	148.97556	600.48987	 	 	 	 	 	 	 	169.73416	7.108815	 	256.2623	680.5451	 	 	 	 	 	 	 
191	148.62709	601.5117	 	 	 	 	 	 	 	169.83427	6.9634833	 	254.43726	680.64905	 	 	 	 	 	 	 
192	148.45279	602.91144	 	 	 	 	 	 	 	170.04366	6.722535	 	253.72177	680.6855	 	 	 	 	 	 	 
193	148.2186	604.6876	 	 	 	 	 	 	 	170.59428	6.5942855	 	253.4144	680.5545	 	 	 	 	 	 	 
194	147.81764	606.80927	 	 	 	 	 	 	 	170.71367	6.55698	 	257.1058	680.60376	 	 	 	 	 	 	 
195	147.58109	609.2365	 	 	 	 	 	 	 	171.01282	6.477208	 	258.06097	680.51624	 	 	 	 	 	 	 
196	147.14615	611.9581	 	 	 	 	 	 	 	171.04286	6.337143	 	255.87769	680.74036	 	 	 	 	 	 	 
197	146.83733	614.9315	 	 	 	 	 	 	 	171.05394	6.2113705	 	259.9568	680.3354	 	 	 	 	 	 	 
198	146.53253	618.28766	 	 	 	 	 	 	 	171.17262	6.071429	 	261.09818	680.6233	 	 	 	 	 	 	 
199	146.1806	622.2692	 	 	 	 	 	 	 	171.70833	5.967262	 	264.52274	680.30457	 	 	 	 	 	 	 
200	145.8836	626.40985	 	 	 	 	 	 	 	171.89577	5.8051357	 	262.9396	680.6546	 	 	 	 	 	 	 
201	145.56139	630.83923	 	 	 	 	 	 	 	172.34424	5.5404983	 	263.14355	680.7228	 	 	 	 	 	 	 
202	145.14568	635.6071	 	 	 	 	 	 	 	172.45349	5.410299	 	264.86273	680.549	 	 	 	 	 	 	 
203	144.85954	641.9085	 	 	 	 	 	 	 	172.87163	5.1385136	 	261.6907	680.64886	 	 	 	 	 	 	 
204	144.50783	640.79767	 	 	 	 	 	 	 	173.2742	4.890681	 	257.5909	680.7318	 	 	 	 	 	 	 
